sub,run,acq_onset,stim_onset,lag
sub-14,tgbu_movie10,1438120,1440240,2120
sub-14,tgbu_movie11,2135477,2137615,2138
sub-14,tgbu_movie12,2817953,2820070,2117
sub-14,tgbu_movie13,3503666,3505818,2152
sub-14,tgbu_movie14,4179665,4181856,2191
sub-14,tgbu_movie15,70452,72611,2159
sub-14,tgbu_movie16,748493,750634,2141
sub-14,tgbu_movie17,1426771,1428930,2159
sub-14,tgbu_movie18,2103854,2105979,2125
sub-14,tgbu_movie01_test,2460762,2462885,2123
sub-14,tgbu_movie02_test,3061191,3063361,2170
sub-14,tgbu_movie03_test,3618986,3621134,2148
sub-15,tgbu_movie01,72714,73687,973
sub-15,tgbu_movie02,668226,669147,921
sub-15,tgbu_movie03,1220603,1221574,971
sub-15,tgbu_movie04,1895318,1896227,909
sub-15,tgbu_movie05,2570509,2571457,948
sub-15,tgbu_movie06,3243638,3244582,944
sub-15,tgbu_movie07,3916923,3917859,936
sub-15,tgbu_movie08,75874,78214,2340
sub-15,tgbu_movie09,756462,758743,2281
sub-15,tgbu_movie10,1427747,1430025,2278
sub-15,tgbu_movie11,2101709,2103931,2222
sub-15,tgbu_movie12,2793164,2795432,2268
sub-15,tgbu_movie13,3467034,3469265,2231
sub-15,tgbu_movie14,4138207,4140497,2290
sub-15,tgbu_movie15,81538,83868,2330
sub-15,tgbu_movie16,757184,759502,2318
sub-15,tgbu_movie17,1433845,1436129,2284
sub-15,tgbu_movie18,2117006,2119273,2267
sub-15,tgbu_movie01_test,2468250,2470512,2262
sub-15,tgbu_movie02_test,3072302,3074546,2244
sub-15,tgbu_movie03_test,3629531,3631787,2256
